bts;nearest;distance
Calice;Fontanachiosa;1272.7846311391831
Casamurata;Fontanachiosa;3045.527451063277
Fontanachiosa;Calice;1272.7846311391831
Masanti;Roncole;2176.913232099522
Marzuola;Bedonia PAL;3779.517871325154
Casalporino;Calice;3001.147195844375
Monte Maggiorasca;Selva;3495.043031779859
Bedonia PAL;Marzuola;3779.517871325154
Torrevecchia Pia;Ceranova;5691.020461604237
Sarmato;Castel San Giovanni;4372.591023416082
Garnasca;Bellagio;2991.4946092033856
Perledo;Bellagio;4562.827821488772
Bellagio;Garnasca;2991.4946092033856
Lenno libronico;Lenno;915.2311659334671
Bella;Muro Lucano;3857.3690954017798
Bellinzago Novarese;Bellinzago Est;2200.668575054113
Tornavento;Lonate Pozzolo;3838.351177591926
Caltignaga;Momo;5470.095278532679
Vizzola Ticino;Maddalena (VA);3359.5997943954876
Lonate Pozzolo;Tornavento;3838.351177591926
Maddalena (VA);Somma Lombardo;3160.2767311004504
Somma Lombardo;Arsago Seprio;1803.8726856649746
Magnago;Lonate Pozzolo;4101.023302413497
Casorate Sempione;Arsago Seprio;2035.1066407250453
Besnate;Cavaria;1522.4982180516754
Castellanza Turati;Castellanza;1783.9289279158213
Bellinzago Est;Bellinzago Novarese;2200.668575054113
Oleggio centro;Bellinzago Est;2720.1909546265574
Varco della Chianca;Buccino;7756.584973763778
Vietri di Potenza;Baragiano;10882.981342759811
Castiglione Messer Marino;Colle Carunchina;7047.591213417409
Schiavi di Abruzzo;Agnone;6892.780117141246
Minerbio;Bentivoglio;6401.962969617054
Castel Maggiore;Bologna Aldo Moro;5846.261965027286
San Pietro in Casale;Castello DArgile;7679.541842484293
Budrio;Minerbio;8286.219195995447
Bologna Aldo Moro;Colle Barbiano;5284.402288080425
Colle Barbiano;Monte Donato TEC;931.1383747968111
Monte Donato TEC;Colle Barbiano;931.1383747968111
Bentivoglio;Minerbio;6401.962969617054
Berbenno;Castione Andevenno;4645.335978247865
Mantegone;Triangia;5247.899683122057
Poira;Morbegno Centro;2873.637666969378
Carbonara Ticino;Dorno;6625.901485832468
Ottobiano Cimitero;San Giorgio di Lomellina;3313.5994367464473
Bereguardo;Besate Centro;8221.955372316317
Bergamo Retelit;Zanica;3395.8270791818004
Maresana;Valbona;1724.7662256304811
Pradalunga;Monte Misma;1164.2802941300374
Roncola;Roncola Botto;1395.3906671228244
Zanica;Bergamo Retelit;3395.8270791818004
Treviolo;Bergamo Retelit;4329.308716583441
Bertinoro;Meldola;5846.155814647611
Monte Cavallo;Borello di Cesena;5620.9892870365
Castrocaro Terme;Oriolo;2580.7813938213717
San Pietro in Guardiano;Bertinoro;8862.172849121487
Lestizza;Pozzuolo del Friuli;4368.874693637557
Camino al Tagliamento;Codroipo;1961.935564097699
Basiliano;Basagliapenta;3885.111078789821
Sedegliano;Sedegliano Paese;2536.9536413591654
Campoformido;Pasian di Prato;3940.316544936624
San Giorgio di Nogaro;Muzzana del Turgnano;6418.967744717999
Fagagna;Fagagna ZI;1755.4769700963761
Bertiolo;Basagliapenta;6577.820831926787
Malga Tambione;Paspardo;5759.822475805985
Edolo;Edolo Centro;2566.562139428792
Rosate;Gudo Visconti Industriale;4195.77468999596
Cassinetta di Lugagnano;Vermezzo;5500.242894610368
Garlasco;Alagna Nord;3368.4608826284193
Mortara;Mortara Parboriz;1511.5963463450091
Besate Centro;Rosate;5132.7564620496005
Calliano TN;Finonchio;4775.988880630695
Bregano;Biandronno;1334.8463037745662
Sasso del Ferro;Vararo;1912.9693451981377
Dagnente;Meina;1116.0755228013693
Levo;Stresa Centro;2123.1285771571925
Besozzo Industriale;Brebbia;1586.6867705460793
Gavirate;Biandronno;1470.033461091401
Leggiuno;Monvalle;397.84059168979394
Villa Valerio;Varese Palace;2453.5396410554963
Campo dei Fiori;Campo dei Fiori Nord;824.7553831049834
Brisino;Stresa Centro;2837.4529455290563
Mottarone;Mottarone Ovest;399.59976344711845
Brebbia;Besozzo Industriale;1586.6867705460793
Riglio;Barzano;1087.7320746967896
Piccoli;Pradovera;1989.373712296827
Pradovera;Cappelletta;1973.5066719981478
Bevagna;Bivio Pomonte;6548.43817286516
Mortaro;Monte delle Croci;8299.676180056324
Pale;Foligno Nord;7856.995225835728
Monte Martano;Viepri;4854.647244308539
Monte Serano;Foligno SantEraclio;7564.463846244314
Colla Beverino;Madrignano;2208.585856629526
Stadomelli;Colla Beverino;3696.7810496844118
San Vito di Legnago;Legnago Centro;4396.09440082464
Terrazzo;Villa Bartolomea;3861.468683987923
Legnago Centro;Angiari;3453.7404646115806
Albaredo d'Adige;Coriano Veronese;5175.89699075368
Lonigo;Santo Stefano VR;4399.05301429173
Casaleone;Cerea;2981.630774001063
Bevilacqua;Montagnana;3884.046869189493
Montagnana;Bevilacqua;3884.046869189493
Biandronno;Bregano;1334.8463037745662
Comerio ;Campo dei Fiori Nord;2996.362866411067
Casale Litta;Daverio;2904.689205031701
Sumirago;Mornago;2953.3989138395677
Vararo;Sasso del Ferro;1912.9693451981377
Case Cavalli;Basilicanova;2837.9627361104635
Grassano;Case Cavalli;6085.787420504123
Monticelli Terme;SantIlario dEnza;5332.991709076429
Ca Ronco;Monte Duro;4454.728104323252
Monte Castello;Grassano;6322.449380741392
Stadirano;Langhirano PAL;2156.798408548208
Ventoso;Monte Evangelo;496.5911304262587
Bibbiano;Case Cavalli;6192.763861746768
Casentino;Corsalone;11848.147109183421
Secchieta;Reggello;5511.706610535875
Corsalone;Rassina;2957.2877031129797
Rassina;Corsalone;2957.2877031129797
Castello di Zumaglia;Tollegno;2759.836197824135
Oropa;Andorno Micca;4699.689455489125
Graglia;Oropa;4899.083440384536
Bielmonte;Monte Trivero;3651.220946953649
Salussola-Vigellio;Salussola;1503.7142670137798
Monte Trivero;Bielmonte;3651.220946953649
Andrate;Borgofranco divrea;3362.7471935328163
Biella Lamarmora;Mongrando;3899.1434023282827
Tollegno;Castello di Zumaglia;2759.836197824135
Pralino;Candelo;3543.379464939492
Mongrando;Biella Lamarmora;3899.1434023282827
Candelo;Pralino;3543.379464939492
Ru ;Bionaz 2;1166.6634236538468
Chalambe;Chantè;4407.928179666208
Bionaz 2;Ru ;1166.6634236538468
Bisaccia;Guardia Lombardi;15995.761909300394
Chiusa Sclafani;Caltabellotta;12178.46631852559
Bistagno;Castelletto DErro;3530.7293180842908
Lura;Monte Gireglio;1837.4486154859637
Torre Pellice;Angrogna;4760.575252547396
Bobbio Pellice;Torre Pellice;5696.043875010498
Casa Guerci;Monte Penice;7102.45842275091
Selva Cerignale;Cariseto;637.3104739600182
Folecchio;Dinelli;2032.686244310941
Solivo Palancato;Teste Valsesia;2823.1553905405294
Portofino;Ruta Camogli;1944.0041388567681
Bogliasco;Monte Fasce;3792.2216699734217
Bognanco;Lusentino;4924.5164210113835
Veruno;Agrate Conturbia;2219.782427761881
Bolano;Podenzana;3763.229574323133
Vezzano;Piano di Arcola Terna;2650.633943056253
Pitelli;Piano di Arcola Terna;3602.5637486292826
Monte Verrugoli;Monte Parodi;1171.2447564542006
Castellana;Le Grazie;2046.154616603934
Magnano;Palazzo Canavese;1352.5980508406656
Viverone;Alice Castello;5882.8288908616905
Brosso;Traversella;3887.5755981633015
Scarmagno;San Martino Canavese;1677.5860097160535
San Martino Canavese;Scarmagno;1677.5860097160535
Bollengo;Magnano;2725.9698247013
Ivrea ZI;Bollengo;3024.1184443055076
Pian di Macina;Pianoro PAL;2675.7677637359993
Monte Grande;Cà Bazzone;6352.207341626277
Bonassola Cimitero;Bonassola;1073.2730159723633
Sasso di Bordighera;Conca Verde;1537.1551390620543
Conca Verde;Sasso di Bordighera;1537.1551390620543
Grimaldi;Latte;1002.6342929391672
Bordighera;Conca Verde;2006.1881501508485
Ospedaletti;Sasso di Bordighera;1883.7381927814197
Bordolano;Casalmorano;6489.289152387485
Casalmorano;Paderno Ponchielli;5875.187092181291
Robecco Oglio;Pontevico;3797.4737171035586
Cremona Centro;Cremona TLC;1301.5900568081915
Boretto;Viadana;4918.479615493458
Castelnovo di Sotto;Roncocesi;8355.576409681224
Casalmaggiore Torre;Casalmaggiore;1732.580532702463
Morfasso Bore;Casali;3593.010469801679
Santa Franca;Groppallo Lepida;2586.811842562589
Borghetto Borbera;Cerreto Ratti;3366.6262534348816
Cerreto Ratti;Molo Borbera;2573.530546619605
Vignole Borbera;Serravalle Scrivia;2344.1063524828023
Monte Ronzone;Molo Borbera;2663.0259040210035
Gavi RAI;Bosio;3692.4493010933975
Molo Borbera;Cerreto Ratti;2573.530546619605
San Martino in Converseto;Villaggio Baviera;2368.551839051249
Monte Fotogno;Villa Verucchio;3538.050065606959
Monte Pincio;Monte Ercole;4975.118365204647
Cesenatico;Cervia;5879.9122939221
Montescudo;Montelicciano;5475.181397147352
Monte San Paolo;Montelicciano;3723.9041754426553
Pizzorne;Borgo Mozzano;5954.386367046525
Valdottavo;Croce di Brancoli;3835.0816703285086
Borgo Mozzano;Lugliano;2851.054318171083
La Rocca TN;Breguzzo;3127.2724558132522
Airone;Zuclo;4830.433411503643
Zuclo;La Rocca TN;4412.05763191817
Villa Rendena;La Rocca TN;4587.8549183699615
Lamoli;Borgo Pace;5548.862924082255
Borgo Pace;Betania;2099.4912141811856
Cima Reduta;Cima Boschin;2130.5105274710663
Gagnago;Borgo Ticino;1180.7233435707678
Borgo Ticino;Gagnago;1180.7233435707678
Coarezza;Pombia;1826.900279262234
Borgo Val Di Taro PAL;Albareto Spallavera;5924.903683556109
Molinatico;Borgo Val Di Taro PAL;7948.111280570683
Passo Cento Croci SP;Varese Ligure Ginestre;3503.096191954579
Pedavena;Seren del Grappa;4103.71044188501
Monte Cimone;Revine;4595.963344597188
Roncon;Seren del Grappa;2702.426168661559
Lentiai;Cesiomaggiore;4272.967708134241
Cesiomaggiore;Lentiai;4272.967708134241
Col Visentin;Fais;2608.261466581121
Col Di Roanza;Mas di Sedico;6682.022064207653
Mel;Lentiai;5498.4748762056115
Borgo Valsugana;Strigno;4416.973292707459
Pradellano;Strigno;4399.46659714817
Borgofranco divrea;Andrate;3362.7471935328163
Vergano;Gargallo;1557.6937986424684
Gargallo;Vergano;1557.6937986424684
Scella;Arona Casello;1273.3727490022998
Borgomanero;Vergano;2321.049141002797
Cureggio Centro;Borgomanero;3112.3867201600283
Torria;Colle San Bartolomeo;3565.754137049066
La Piana;Olino;3162.5893399183747
Ziano Piacentino;Calcinara;1574.8799228804678
Calcinara;Ziano Piacentino;1574.8799228804678
Seguzzone;Ziano Piacentino;3528.2864972668613
Agazzano;Rezzanello;3755.8937617245106
MontÃ¹;Colombara Canneto Pavese;3413.545467005211
Calendasco;Sarmato;6234.242458987174
Rezzanello;Pigazzano Momeliano;2895.3712570839834
Pigazzano;Pigazzano Momeliano;61.153476170358566
Piacenza Stadio;Farnesiana;1938.861436016536
Podenzano;San Giorgio Piacentino;5272.573575715875
Borgonovo Val Tidone;Ziano Piacentino;3876.4467010034045
Castel San Giovanni;Sarmato;4372.591023416082
Cima Croce;Ponte Strona;2549.1797305806617
Borgosesia Nord;Postua;3480.361049047166
Serravalle Sesia;Grignasco;2755.730604065065
Bormida;Bric della Tesa;2688.9694210914695
Bormio Oga;Piatta;2317.1350837646064
Canareglia;La Rocca SO;2934.0864774072647
Borzonasca;Colle di Botasi;5640.023260451897
San Martino del Monte;Curlo;3739.0165321692566
Campodonico;Chiavari Corso Millo;2664.566042179305
Bosio;Gavi RAI;3692.4493010933975
Bossico;Sovere;1500.3184191017301
Monte Creò;Esmate;5057.005235285078
Esmate;Solto Collina;1796.8013541479354
Bossolasco;Bonvicino;4312.271740970019
Mombarcaro;Bonvicino;5603.922344814399
Belcastro;Cropani Marina;5885.506492760653
Sellia Marina;Cropani Marina;9840.896925499796
Cropani Marina;Belcastro;5885.506492760653
San Gallo;Salena;1246.0454039977087
Botticino;San Gallo;2472.121271391878
Bovegno;Bovegno Scuole;1151.3184269755595
Bovegno Scuole;Bovegno;1151.3184269755595
Boves;Robilante Montasso;4312.4889560378815
Calcinaro;Nogara;3744.659980166668
Isola della Scala;Calcinaro;6084.190074459376
Bovolone;Ca degli Oppi;4336.048084884702
Costa di Serina;Santa Croce;3705.0792668268377
Monte Calvario Manziana;Canale Monterano;761.7924570004042
Trevignano;Bassano Romano;7238.05807808596
Monte Razzano;Formello;5004.726117601769
Bracciano Sud;Bracciano ;1947.0039132053064
Bracciano ;Bracciano Sud;1947.0039132053064
Ottone;Belnome;4103.279252207199
Branzi;Carona;3260.4328654542824
Cherasco;Bra;8259.209125828842
Caramagna Piemonte;Sommariva Bosco;3114.1247783743042
Carmagnola;Lombriasco;6522.571051966094
Bra;Sommariva Perno;5816.298753471759
Breda di Piave;Maserada;3208.711866787467
San Biagio di Callalta;Breda di Piave;6067.964182584676
Silea;Casier;2906.29909906028
Villorba;Lancenigo;3194.00787044795
Treviso;Treviso Sud;2326.847355689456
Santa Maria del Piave;Mareno di Piave;4042.303392438928
Povegliano;Giavera del Montello;3006.4432923879067
Maserada;Breda di Piave;3208.711866787467
Boltiere;Arcene;3261.220530563288
Olgelasca;Cantù;2496.661931108281
Carugo;Olgelasca;2599.163483005238
Crocione;Villa Vergano;1542.2960384972573
Villa Vergano;Crocione;1542.2960384972573
Paspardo;Malga Tambione;5759.822475805985
Breno;Bienno;1860.002078622007
Polsa;Malga Riondera;5258.657961058714
Albaredo;Rovereto Centro;3875.452786412567
Brentonico;Monte Giovo;3304.1924986969257
Plose;Bressanone;4179.632056761152
Bressanone;Plose;4179.632056761152
Angrogna;Prarostino;4625.326160286374
Prarostino;San Secondo di Pinerolo;2357.912239079645
Cavour;Bricherasio;6515.315897320511
Montoso;Torre Pellice;6590.988241505257
Bricherasio;Angrogna;5027.596157001959
Brisighella PAL;Rontana;2637.3352655341077
Monte Visano;Rontana;3067.5318610053437
SantEufemia;Brisighella Scampelluccio;2446.599007922183
Brisighella Scampelluccio;SantEufemia;2446.599007922183
Tossino;Monte Castellaccio;1826.3187735327754
Monte Castellaccio;Tossino;1826.3187735327754
Montarzolo;Broni;2706.101587237887
Casanova Lonati;Broni;5929.417501877137
Bronte;Randazzo;15569.018751818301
Monte Rosso;Cornaiano;5176.150100833571
Ora ZI;Montagna;3248.5164710147046
Brossasco;Venasca;6309.0697876820195
Brovello Carpugnino;San Salvatore;1360.857283392885
Taino;Taino Alto;593.1015291277313
Comnago;San Salvatore;1734.8308991786869
Plan de Corones;Brunico;5723.811566598328
Campo Tures;Lutago;8184.1408847701305
Brunico;Plan de Corones;5723.811566598328
Brusimpiano;Monte Marzio;2462.2793073288503
Castelletto Cervo;Castellengo;4211.094609321775
Brusnengo;Cossato;6273.9482766075525
Graines;Salirod;5673.699588161635
Buccino;Varco della Chianca;7756.584973763778
Monte Zonzo;Rofigliani;9149.59244761627
Monte Luco;Cetamura;5488.324716303216
Badia Agnano;Ambra La Costa;4920.735541288107
Ambra;Ambra La Costa;4323.091709260726
Ambra La Costa;Ambra;4323.091709260726
Mezzomonte;Polcenigo Paese;1189.652006897307
Piancavallo PN;Marsure;4107.537712677234
Col Gajardin;Col Gajardin 2;354.72523296879035
Gaiarine;Codognè;3683.6479284361953
Budoia;Mezzomonte;3672.062603552705
San Giovanni Polcenigo;Polcenigo Paese;1524.9589821500588
Polcenigo Paese;Mezzomonte;1189.652006897307
Punta Lu Casteddu;Porto Ottiolu;2969.766059082866
Tanaunella;Porto Ottiolu;3365.627860052924
Porto Ottiolu;Punta Lu Casteddu;2969.766059082866
Padula;Sala Consilina;7155.6084123960445
Buronzo;Castelletto Cervo;4522.531288496349
Crocicchio;Carisio;5113.695165285852
Castellengo;Castelletto Cervo;4211.094609321775
Carisio;Santhià Ignazio;4895.245749779123
Monte Maggio Colonia;Crocefieschi;2955.1636434296965
Busalla ;Isolabuona;4040.7077643652087
Rivarolo Canavese;Salassa;3976.465317772748
Monte Belice;Santa Elisabetta;3039.2395472725148
San Giorgio Canavese;Rivarolo Canavese;5710.135217475244
Lombardore;Leinì;6708.095162424975
Santa Elisabetta;Monte Belice;3039.2395472725148
Foglizzo;Lombardore;6977.052241135969
Candia Canavese;Caluso;3512.614381387895
Monte Turu;Varisella;3865.461605323239
Busano;Salassa;4705.65297513431
Salassa;Valperga;2907.91105540511
Valperga;Cuorgnè;1934.7080965257182
Verona Sud;Verona;2985.10210900242
Torricelle;Verona Est;3865.094994806394
Monte Dondolo;Grezzana;2750.4223945528
Monte Noroni;Monte Pastello Nord;5139.648436174433
Castagnè;Illasi;6520.0247888806425
Lugagnano;Bussolengo;3485.727776653314
Bussolengo;Lugagnano;3485.727776653314
Giaglione;Pampalù;3214.862312751562
Ambournet Alta;Giaglione;4893.539971119479
Bussoleno;Mompantero;6447.972343436813
Borgone Gandoglio;SantAntonino di Susa;2907.711204133303
Buti;Buti Centro;1269.1418149526082
Buti Centro;Buti;1269.1418149526082
Cremonte;Rocchetta Ligure;2726.2480257381344
Merlassino;Molo Borbera;3120.710105913527
Farnesiana;Piacenza Stadio;1938.861436016536
Roveleto;Carpaneto Piacentino;7181.659348939556
Mathi;Cafasse centro;2604.1072210510456
Cafasse centro;Mathi;2604.1072210510456
Caimercati;Caicamblucci Parrocchia;5425.8439806778315
Santo Stefano Cimitero;Arcevia;2546.75241140093
Monte Nerone;Serravalle di Carda;2996.3992977954977
Molaccione;Monte Petrano;5116.586763056717
Corruccioni;Montereale AQ;5942.975818371336
Cesaproba;Montereale AQ;3258.4306616929885
Caiazzo;Castel Campagnano;4860.859745885967
Piedimonte Matese;Gioia Sannitica;8281.254309641916
Camposauro;Monticelli;5919.974931151087
Caino BS;Agnosine;4531.645229607586
Montenotte Superiore;Marenchi;5320.8150554664935
Cima Ferle;Ponzone;4861.176544317951
Croce di Blin;Cairo Montenotte;2854.7102047363283
Cairo Montenotte;Croce di Blin;2854.7102047363283
Carcare San Giovanni;Vispa Carpeneto;2009.257092506608
Monte Burot;Vispa Carpeneto;3848.3428329866792
Calabritto Petragna;Caposele Materdomini;3310.5188530637947
Viddalba;S.Maria Coghinas;8739.900623524583
Calangianus;Monte Limbara;7778.958255949974
Bannio;Barzona;2240.0937412237154
Olino;Lagoncello;812.6094115903124
Candoglia;Ornavasso;2561.798212665991
Lagoncello;Olino;812.6094115903124
Calascio;Calascio Acquedotto;702.0387656735489
Calascio Acquedotto;Calascio;702.0387656735489
S.Antioco;S.Antioco SUD;3977.6484637139783
Carloforte;Calasetta Paese;6799.65465685175
Portoscuso;Bacu Abis;7956.1792823238275
Calasetta Paese;S.Antioco;4858.838173903583
Calatabiano;Fiumefreddo Di Sicilia;4328.724217197623
Castelmola;Calatabiano;5956.2770036970505
Fiumefreddo Di Sicilia;Calatabiano;4328.724217197623
Penegal;Caldaro;3874.390726847151
Caldaro;Penegal;3874.390726847151
Poggio della Croce;Valcimarra;2300.022903072622
Caldarola;Poggio della Croce;3511.2379330890612
Valcimarra;Poggio della Croce;2300.022903072622
Monte Capolapiaggia;Valcimarra;2779.3053777986743
Anzola dellEmilia;Monte Capra;8966.670709514685
Monte Capra;Calderino;2330.264215077991
Fontemaggiore;Bersagliera;3804.5008296848355
Sala Bolognese;San Giovanni in Persiceto;7584.546133918252
Piani di Castagnè;Doss del Bue;3786.260782514958
Caldonazzo;Santa Giuliana;3295.8612973863837
Santa Giuliana;Caldonazzo;3295.8612973863837
Ramiano;Calestano;3508.930992992057
Villa Casola;Monte Cassio;2082.3733422437112
Calestano;Vigolone Calestano;2428.255874179264
Vigolone Calestano;Calestano;2428.255874179264
Fornovo di Taro;Roncolongo;3504.7323917142694
Calizzano Camporosso;Bardineto;4592.979051164254
Caltabellotta;Ribera;9026.717067810087
Caltavuturo;Aliminusa;10222.12663904157
Mazzè;Caluso;3171.6905057503304
Rondissone;Mazzè;4973.985674316531
Verolengo;Chivasso Acquedotto;6192.1583292562345
Chivasso RAI;Chivasso Acquedotto;4931.824406329253
Settimo Torinese;Leinì;4207.902858297771
Caluso;Mazzè;3171.6905057503304
Pignataro Marconi;Sparanise;3586.0095702998537
Prieci;Carinola;4145.328002456216
Grazzanise;Cancello Arnone;6416.17852698647
Cancello Arnone;Grazzanise;6416.17852698647
Monte Meto;Montramito;442.89965982028656
Salapreti;Monte Meto;3735.6210176094824
Monte Conero;Riviera del Conero;1312.4690277960337
Riviera del Conero;Monte Conero;1312.4690277960337
Leonessa;Porto Recanati Grattacielo;2638.171002247071
Spaccio Bacucco;Sambucheto;4580.624665101806
Osimo Aspio;Offagna;7046.62882394107
Camerata Cornello;Cespedosio;3049.258856731085
Lancianello;Monte d'Aria;5661.432747705506
Monte d'Aria;Lancianello;5661.432747705506
Marina Di Camerota;San Giovanni a Piro;10869.804361270706
Monte Ragiura;Vicari;11107.838617015603
Cammarata;San Biagio Platani;13060.961081351861
Poggio Sugello;Roselle;7974.2094184396055
Roccastrada Sud;Le Coste;6993.273375796574
Rofigliani;Quadrivio;3161.295745594727
Quadrivio;Campagna SA;2374.7801138245054
Campagna SA;Quadrivio;2374.7801138245054
Monte Morello;Caldine;4811.1165454239535
Limite;Torre di Sant Alluccio;5190.0976212054275
Torre di Sant Alluccio;San Baronto;4838.701454424111
Poggio Pratone;Caldine;2847.1139155427268
Osmannoro;Firenze Sansovino;4897.337620310173
Signa;Osmannoro;7015.017283122437
Sossano;Noventa Vicentina;7161.854415077815
Zovencedo;San Giovanni in Monte;3292.0223578721225
Monte Venda;Monte Peraro;2207.7636826695657
Pressana;Cologna Veneta;4062.2427423502168
Monte Cero;Monte Peraro;5644.669306779875
Noventa Vicentina;Sossano;7161.854415077815
Campiglia Marittima;Venturina Terme;3558.878067444454
Piombino Tolla;Elba Cavo;11674.025600811972
Venturina Terme;Campiglia Marittima;3558.878067444454
Elba Perone;Elba Capanne;3210.773817418187
Elba Monte Tambone;Elba Colle Lecoano;4426.495847984283
Lutago;Cadipietra;6663.952243988272
Campobasso Conte Rosso;Campobasso Zona Industriale;4169.697157677586
Campobasso Zona Industriale;Campobasso Conte Rosso;4169.697157677586
Riccia;SantElia A Pianisi;15080.708060243735
Campobello Di Licata;Ravanusa;4682.565804072011
Ravanusa;Campobello Di Licata;4682.565804072011
Fraciscio;Campodolcino;659.7528895659697
Madesimo;Starleggia;1573.6810772180704
Starleggia;Madesimo;1573.6810772180704
Campodolcino;Fraciscio;659.7528895659697
Campofranco;Cammarata;15768.324360358176
Modena Pirandello;Campogalliano;4782.436526522104
Villa Masone;Reggio Emilia;5642.661435475676
Carpi;Carpi Sud;1264.2253089467554
Bomporto;Ravarino;8300.706313721164
Monte Evangelo;Ventoso;496.5911304262587
Montecavolo;Reggio Emilia;5753.527721757961
Campogalliano;Modena Pirandello;4782.436526522104
Trebaseleghe;Massanzago;4687.693643638041
Cadoneghe;Villafranca Padovana;7189.791569903537
Piazzola sul Brenta;San Giorgio in Bosco;4593.544658639628
Padova Sud;Padova Est;2133.3365062974967
Camposampiero;Borgoricco;3900.4609461601076
Borgoricco;Camposampiero;3900.4609461601076
Mascioni Centro;Mascioni;2326.223971516757
Mascioni;Mascioni Centro;2326.223971516757
Campotosto;Mascioni;4455.648447590791
Vigo;La Collina;4904.649221975303
Campeda;Posola;2267.460069955887
Bombiana;Monte Belvedere;5056.176959853977
Castiglione Dei Pepoli;Vigo;6096.4324376764735
Gobbera;Primiero;8310.388269430568
Primiero;Gobbera;8310.388269430568
Canale Monterano;Monte Calvario Manziana;761.7924570004042
La Bianca;Tolfa;3903.1220237664907
Canale;Canale;41.134328515041844
Canale;Canale;41.134328515041844
Valpone;Canale;2438.525539988429
Col Rodella;Alba Penia;5024.091040932125
Alba Penia;Passo Pordoi;3429.919969604961
Passo Pordoi;Alba Penia;3429.919969604961
Passo Giau;Colle Pianaz;4199.175394207004
Canelli;Loazzolo;5773.367867263519
Monte Dagno;Bistagno;6187.543602654195
Loazzolo;Mango;5499.881046547481
Canepina;Soriano;3779.3825139658184
Col Gajardin 2;Col Gajardin;354.72523296879035
Cordignano;Caneva;2113.259186271651
Cordignano Centro;Cordignano ZI;748.247241920339
Orsago;Orsago Sud;993.6229234646762
Godega di SantUrbano;Orsago;1129.3100782666324
Lutrano;Fontanelle;2153.508034821135
Col de Fer;Caneva;2247.8243125528024
Sacile;Cordignano;3411.043196678629
Cordignano ZI;Cordignano Centro;748.247241920339
Caneva;Cordignano;2113.259186271651
Orsago Sud;Orsago;993.6229234646762
Canneto sullOglio;Asola;7068.017812761661
Romprezzagno;Bozzolo;2544.6233394618316
Sospiro;San Daniele Po;5992.11594509208
Borgna;Campagnano;2139.983397867129
Campagnano;VeddoMaccagno;842.8953161286614
San Bartolomeo RTO;Cannobio;4523.105289478692
Carnago;CarnagoAcquedotto;1927.5754280843373
Malnate;Cascina Celidonia;1521.0115229302435
Cascina Celidonia;Malnate;1521.0115229302435
Varese Borri;Malnate;2940.7394695010134
Monte Petrano;Molaccione;5116.586763056717
Punta Garm;Cantoira;4345.180926631894
Cantoira;Punta Garm;4345.180926631894
Cantù;Olgelasca;2496.661931108281
Capiago;Monte Goy;3576.5205020498
Fino Mornasco;Villa Guardia;3659.4174948878617
Monte Goy;Monte Croce (CO);2736.9141898248345
Monte Croce (CO);Breccia;1662.9647094597512
Brunate Eroi;Brunate;930.5818894935952
Guanzate;Lurate Caccivio;2660.0507996706074
Brunate;Brunate Eroi;930.5818894935952
Olgiate Comasco;Binago;3506.5398321185817
Cantù Nord;Cantù;3330.3458373585427
Colle Izzone;Teramo Ferrovia;3365.424421293461
Bascianella;Villa Ruzzi;2863.858433505217
Villa Ruzzi;Bascianella;2863.858433505217
Campiglio di Campli;Teramo La Croce;5392.137363871148
Collina Sant'Arcangelo;Bascianella;3753.5144738551803
Teramo La Croce;Campiglio di Campli;5392.137363871148
Montorio al Vomano;Cunetta;6187.306875418426
Canzano;Castellalto;2543.2055797081107
Caorle;San Giorgio di Livenza;8480.004383171336
San Stino di Livenza;Cessalto;5451.050159603301
Lugugnana;Sindacale;7050.233780967934
San Donà di Piave;San Donà di Piave PoP;1851.4128604492862
San Donà di Piave PoP;San Donà di Piave;1851.4128604492862
San Giorgio di Livenza;La Salute di Livenza;1978.736602630575
Paestum Sud;Paestum Nord;5104.191505672496
Paestum Nord;Paestum Sud;5104.191505672496
Agresto;Buti Centro;3716.4742554510726
Monte Serra;Monte Cascetto;948.0240469504804
Capannoli;Ponsacco;5517.619485305878
Ponsacco;Capannoli;5517.619485305878
Capistrello;Castellafiume;7040.433993180431
Capo dOrlando;Naso;5260.429825036657
Caposele Materdomini;Calabritto Petragna;3310.5188530637947
Verrecchie;Cappadocia;4182.31069305372
Caprino Veronese;Costermano;3687.5532582324126
Costermano;Garda;3034.534997754627
SantOnofrio;Capriolo;2842.9097789484526
Sarnico;Villongo;3187.6956825278266
Grone;Colli San Fermo;3447.9328794745466
Capriolo;Villongo;1747.0394321111446
Caraglio;Cima Varengo;4643.481973599737
Cuneo;Margarita;6606.6143661249325
Centallo;Cuneo;9327.691102261924
Robilante Montasso;Robilante;3189.015646010633
Caramanico Stadio;Caramanico;1378.1845775810082
Caramanico;Caramanico Stadio;1378.1845775810082
Curlo;Chiavari Corso Millo;2254.649077274931
La Costa;Tolceto;2064.817236485802
Taurano;Quindici;3516.8398317783685
Carbonia;Monte Leone;1726.3612304686699
San Giovanni Suergiu;Carbonia;3506.0195488488866
Monte Leone;Carbonia;1726.3612304686699
Vispa Carpeneto;Carcare San Giovanni;2009.257092506608
Carcoforo;Priami;4872.11229083866
Montagnalonga;Cinisi;4632.220997705677
Punta Raisi;Cinisi;2943.3097663450067
Rocchetta E Croce;Pignataro Marconi;4210.354915890383
Carinola;Prieci;4145.328002456216
Dueville;Sandrigo;3777.6483906286267
Berico;Creazzo;3435.1906744440985
Valrovina;Rubbio;2340.176263776202
